City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,iitti,60.8949,26.3387,0.73,99,5,1.64,FI,1727752265
145,bilibino,68.0546,166.4372,0.65,97,100,0.88,RU,1727752267
146,prainha,-1.8,-53.48,24.13,80,59,1.64,BR,1727752268
147,muranovo,56.1833,37.9,6.59,77,81,5.66,RU,1727752269
148,jamestown,42.097,-79.2353,18.9,87,100,2.57,US,1727752270
149,atbasar,51.8,68.3333,12.62,43,8,2.35,KZ,1727752271
150,anadyr,64.75,177.4833,7.28,93,40,7.0,RU,1727752272
151,stiens,53.2623,5.7577,13.88,85,75,4.63,NL,1727752273
152,banda aceh,5.5577,95.3222,28.8,75,83,3.2,ID,1727752084
153,pasni,25.2631,63.471,26.93,84,0,5.01,PK,1727752193
154,kongsvinger,60.1905,11.9977,4.93,96,100,1.21,NO,1727752276
155,salaqi,40.5414,110.5108,6.73,31,7,9.46,CN,1727752259
156,sault ste. marie,46.5168,-84.3333,16.16,94,0,4.12,CA,1727752279
157,glace bay,46.1969,-59.957,14.53,90,23,5.36,CA,1727752280
158,wisconsin rapids,44.3836,-89.8174,21.16,81,0,3.09,US,1727752195
159,kolda,12.8833,-14.95,24.28,97,100,1.61,SN,1727752283
160,bonthe,7.5264,-12.505,24.24,92,100,3.61,SL,1727752284
161,lianhe,47.1333,129.2667,12.55,36,7,1.96,CN,1727752285
162,lihue,21.9789,-159.3672,26.87,79,100,3.09,US,1727752286
163,zaltan,32.947,11.8665,21.65,61,0,1.38,LY,1727752287
164,yulinshi,38.2906,109.7494,10.61,23,0,8.36,CN,1727752288
165,padangsidempuan,1.3667,99.2667,26.98,83,78,0.22,ID,1727752289
166,sitka,57.0531,-135.33,12.94,58,100,10.8,US,1727752290
167,saint-girons,42.9167,1.1667,12.35,90,68,3.11,FR,1727752291
168,bodo,67.28,14.405,7.65,79,75,19.03,NO,1727752292
169,klyuchi,52.2667,79.1667,15.47,42,8,3.01,RU,1727752293
170,ceyrat,45.7318,3.0633,13.35,77,100,1.03,FR,1727752295
171,tidjikja,18.5564,-11.4271,31.44,26,100,3.46,MR,1727752296
172,amahai,-3.3333,128.9167,27.96,77,100,2.3,ID,1727752297
173,tolanaro,-25.0319,46.9987,20.56,88,46,4.34,MG,1727752298
174,sorochinsk,52.4338,53.1583,10.95,47,6,2.72,RU,1727752123
175,noumea,-22.2763,166.4572,24.15,74,0,7.01,NC,1727752300
176,kirakira,-10.4544,161.9205,28.22,77,45,3.41,SB,1727752301
177,al wajh,26.2455,36.4525,23.97,78,0,1.54,SA,1727752302
178,tura,25.5198,90.2201,26.73,94,100,1.66,IN,1727752303
179,palmira,3.5394,-76.3036,22.87,71,82,2.68,CO,1727752161
180,vilyuchinsk,52.9306,158.4028,11.15,80,100,1.47,RU,1727752305
181,lazaro cardenas,17.9583,-102.2,26.37,84,98,1.21,MX,1727752306
182,acajutla,13.5928,-89.8275,25.43,86,100,0.81,SV,1727752307
183,ust-nera,64.5667,143.2,-0.7,69,89,1.26,RU,1727752308
184,sandnessjoen,66.0217,12.6316,8.54,74,100,10.6,NO,1727752309
185,baruun-urt,46.6806,113.2792,4.29,47,14,6.96,MN,1727752311
186,thompson,55.7435,-97.8558,4.87,87,100,10.18,CA,1727752312
187,buka,40.8108,69.1986,17.16,40,1,0.78,UZ,1727752313
188,sukumo,32.9333,132.7333,27.91,57,94,3.71,JP,1727752314
189,rawatsar,29.2833,74.3833,33.71,34,0,2.54,IN,1727752315
190,taco pozo,-25.6167,-63.2833,35.26,22,3,6.61,AR,1727752316
191,bayanaul,50.7889,75.6956,14.49,35,6,0.78,KZ,1727752317
192,margate,51.3813,1.3862,12.15,81,100,0.45,GB,1727752230
193,sisimiut,66.9395,-53.6735,3.76,89,68,2.48,GL,1727752319
194,haiku-pauwela,20.9219,-156.3051,27.36,71,38,11.18,US,1727752320
195,williams lake,52.1415,-122.1445,8.92,73,100,5.66,CA,1727752321
196,kununurra,-15.7667,128.7333,37.99,16,0,5.66,AU,1727752322
197,howard springs,-12.497,131.047,34.93,39,39,2.89,AU,1727752323
198,vanimo,-2.6741,141.3028,30.68,66,96,3.94,PG,1727752326
199,dryden,49.7833,-92.7503,9.06,62,37,7.35,CA,1727752327
200,yauya,-8.9833,-77.3,10.21,78,100,1.93,PE,1727752328
201,idah,7.1065,6.7342,22.87,98,100,0.92,NG,1727752329
202,vorkuta,67.5,64.0,2.53,75,100,14.35,RU,1727752330
203,port elizabeth,-33.918,25.5701,10.73,80,75,9.26,ZA,1727752046
204,santa elena de uairen,4.6167,-61.1333,20.27,84,91,1.26,VE,1727752333
205,naze,28.3667,129.4833,26.98,67,99,1.1,JP,1727752334
206,bikenibeu village,1.3673,173.1241,30.98,66,75,2.06,KI,1727752335
207,saint-joseph,-21.3667,55.6167,20.21,70,9,4.85,RE,1727752336
208,callao,-12.0667,-77.15,18.73,88,100,7.2,PE,1727752202
209,magadan,59.5667,150.8,4.18,48,100,1.6,RU,1727752338
210,byerazino,53.8391,28.9879,7.6,70,100,5.35,BY,1727752339
211,siwa oasis,29.2041,25.5195,21.12,64,0,3.0,EG,1727752342
212,kingston,17.997,-76.7936,28.53,79,20,1.54,JM,1727751839
213,asau,46.4333,26.4,7.71,90,100,1.76,RO,1727752344
214,nuuk,64.1835,-51.7216,3.34,93,100,11.83,GL,1727752345
215,iskateley,67.6803,53.1512,4.48,71,100,12.48,RU,1727752346
216,strehaia,44.6167,23.2,7.68,73,0,3.33,RO,1727752347
217,derebucak,37.3918,31.5092,9.22,88,3,1.85,TR,1727752348
218,bel ombre,-4.6167,55.4167,26.34,78,87,7.63,SC,1727752349
219,mugia,43.1041,-9.2179,20.51,98,100,8.18,ES,1727752350
220,tupaciguara,-18.5922,-48.705,24.11,39,10,1.89,BR,1727752351
221,plastun,44.7561,136.2939,11.28,88,100,2.23,RU,1727752352
222,tongliao,43.6125,122.2653,12.73,28,5,4.58,CN,1727752353
223,ta`u,-14.2336,-169.5144,24.29,90,100,4.4,AS,1727752354
224,san jose del guaviare,2.5729,-72.6459,23.66,77,27,0.52,CO,1727752357
225,polyarnyy,69.1989,33.4478,2.42,79,80,7.55,RU,1727752358
226,constantia,44.1833,28.65,8.38,93,100,14.41,RO,1727752193
227,port mathurin,-19.6833,63.4167,22.43,77,10,10.04,MU,1727752361
228,baiyin,36.5583,104.2081,9.98,51,5,3.78,CN,1727752362
229,kapuskasing,49.4169,-82.4331,12.85,67,100,3.96,CA,1727752363
230,vadso,70.0744,29.7487,5.09,75,20,7.2,NO,1727752364
